Name_Manga;Name_Char;Role_Char;Url_Char
Kingdom;Ying, Zheng;Main;https://myanimelist.net/character/64109/Zheng_Ying
Kingdom;He Liao, Diao;Main;https://myanimelist.net/character/65407/Diao_He_Liao
Kingdom;Wang, Qi;Supporting;https://myanimelist.net/character/65443/Qi_Wang
Kingdom;Huan, Yi;Supporting;https://myanimelist.net/character/93183/Yi_Huan
Kingdom;Wang, Jian;Supporting;https://myanimelist.net/character/93185/Jian_Wang
Kingdom;Meng, Tian;Supporting;https://myanimelist.net/character/88179/Tian_Meng
Kingdom;Gong, Biao;Supporting;https://myanimelist.net/character/102495/Biao_Gong
Kingdom;Teng;Supporting;https://myanimelist.net/character/66931/Teng
Grand Blue;Kitahara, Iori;Main;https://myanimelist.net/character/144581/Iori_Kitahara
Grand Blue;Kotegawa, Chisa;Main;https://myanimelist.net/character/145329/Chisa_Kotegawa
Grand Blue;Imamura, Kouhei;Main;https://myanimelist.net/character/144582/Kouhei_Imamura
Grand Blue;Hamaoka, Azusa;Supporting;https://myanimelist.net/character/145327/Azusa_Hamaoka
Grand Blue;Yoshiwara, Aina;Supporting;https://myanimelist.net/character/148495/Aina_Yoshiwara
Grand Blue;Kotobuki, Ryuujirou;Supporting;https://myanimelist.net/character/145331/Ryuujirou_Kotobuki
Grand Blue;Tokita, Shinji;Supporting;https://myanimelist.net/character/145330/Shinji_Tokita
Grand Blue;Kotegawa, Nanaka;Supporting;https://myanimelist.net/character/145328/Nanaka_Kotegawa
Grand Blue;Busujima, Sakurako;Supporting;https://myanimelist.net/character/150149/Sakurako_Busujima
Grand Blue;Kitahara, Shiori;Supporting;https://myanimelist.net/character/149718/Shiori_Kitahara
Slam Dunk;Sakuragi, Hanamichi;Main;https://myanimelist.net/character/310/Hanamichi_Sakuragi
Slam Dunk;Rukawa, Kaede;Main;https://myanimelist.net/character/311/Kaede_Rukawa
Slam Dunk;Mitsui, Hisashi;Main;https://myanimelist.net/character/313/Hisashi_Mitsui
Slam Dunk;Miyagi, Ryota;Main;https://myanimelist.net/character/312/Ryota_Miyagi
Slam Dunk;Akagi, Takenori;Main;https://myanimelist.net/character/314/Takenori_Akagi
Slam Dunk;Sendou, Akira;Supporting;https://myanimelist.net/character/3403/Akira_Sendou
Slam Dunk;Mito, Youhei;Supporting;https://myanimelist.net/character/9721/Youhei_Mito
Slam Dunk;Akagi, Haruko;Supporting;https://myanimelist.net/character/8485/Haruko_Akagi
Slam Dunk;Anzai, Mitsuyoshi;Supporting;https://myanimelist.net/character/12862/Mitsuyoshi_Anzai
Slam Dunk;Fujima, Kenji;Supporting;https://myanimelist.net/character/12799/Kenji_Fujima
Utsuro no Hako to Zero no Maria;Otonashi, Maria;Main;https://myanimelist.net/character/87721/Maria_Otonashi
Utsuro no Hako to Zero no Maria;Hoshino, Kazuki;Main;https://myanimelist.net/character/87719/Kazuki_Hoshino
Utsuro no Hako to Zero no Maria;Oomine, Daiya;Main;https://myanimelist.net/character/87925/Daiya_Oomine
Utsuro no Hako to Zero no Maria;O;Main;https://myanimelist.net/character/89939/O
Utsuro no Hako to Zero no Maria;Kirino, Kokone;Main;https://myanimelist.net/character/87929/Kokone_Kirino
Utsuro no Hako to Zero no Maria;Mogi, Kasumi;Main;https://myanimelist.net/character/87927/Kasumi_Mogi
Utsuro no Hako to Zero no Maria;Usui, Haruaki;Main;https://myanimelist.net/character/87923/Haruaki_Usui
Utsuro no Hako to Zero no Maria;Yanagi, Yuuri;Supporting;https://myanimelist.net/character/89955/Yuuri_Yanagi
Utsuro no Hako to Zero no Maria;Shindou, Iroha;Supporting;https://myanimelist.net/character/89943/Iroha_Shindou
Utsuro no Hako to Zero no Maria;Otonashi, Aya;Supporting;https://myanimelist.net/character/141529/Aya_Otonashi
Monogatari Series: First Season;Senjougahara, Hitagi;Main;https://myanimelist.net/character/22037/Hitagi_Senjougahara
Monogatari Series: First Season;Oshino, Shinobu;Main;https://myanimelist.net/character/23602/Shinobu_Oshino
Monogatari Series: First Season;Araragi, Koyomi;Main;https://myanimelist.net/character/22036/Koyomi_Araragi
Monogatari Series: First Season;Hanekawa, Tsubasa;Main;https://myanimelist.net/character/22055/Tsubasa_Hanekawa
Monogatari Series: First Season;Hachikuji, Mayoi;Main;https://myanimelist.net/character/22052/Mayoi_Hachikuji
Monogatari Series: First Season;Kanbaru, Suruga;Main;https://myanimelist.net/character/22054/Suruga_Kanbaru
Monogatari Series: First Season;Sengoku, Nadeko;Main;https://myanimelist.net/character/22050/Nadeko_Sengoku
Monogatari Series: First Season;Araragi, Karen;Main;https://myanimelist.net/character/24194/Karen_Araragi
Monogatari Series: First Season;Araragi, Tsukihi;Main;https://myanimelist.net/character/24195/Tsukihi_Araragi
Monogatari Series: First Season;Kaiki, Deishuu;Supporting;https://myanimelist.net/character/53641/Deishuu_Kaiki
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;Hikigaya, Hachiman;Main;https://myanimelist.net/character/67065/Hachiman_Hikigaya
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;Yukinoshita, Yukino;Main;https://myanimelist.net/character/67067/Yukino_Yukinoshita
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;Yuigahama, Yui;Main;https://myanimelist.net/character/67069/Yui_Yuigahama
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;Isshiki, Iroha;Supporting;https://myanimelist.net/character/110743/Iroha_Isshiki
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;Totsuka, Saika;Supporting;https://myanimelist.net/character/67071/Saika_Totsuka
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;Hikigaya, Komachi;Supporting;https://myanimelist.net/character/67075/Komachi_Hikigaya
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;Hiratsuka, Shizuka;Supporting;https://myanimelist.net/character/67077/Shizuka_Hiratsuka
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;Yukinoshita, Haruno;Supporting;https://myanimelist.net/character/79589/Haruno_Yukinoshita
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;Kawasaki, Saki;Supporting;https://myanimelist.net/character/74587/Saki_Kawasaki
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;Zaimokuza, Yoshiteru;Supporting;https://myanimelist.net/character/67073/Yoshiteru_Zaimokuza
Kaze no Tani no Nausicaä;Nausicaä;Main;https://myanimelist.net/character/539/Nausicaä
Kaze no Tani no Nausicaä;Kushana;Main;https://myanimelist.net/character/541/Kushana
Kaze no Tani no Nausicaä;Lord Yupa;Main;https://myanimelist.net/character/540/Lord_Yupa
Kaze no Tani no Nausicaä;Asbel;Main;https://myanimelist.net/character/543/Asbel
Kaze no Tani no Nausicaä;Namulis;Main;https://myanimelist.net/character/8781/Namulis
Kaze no Tani no Nausicaä;Charuka;Main;https://myanimelist.net/character/8782/Charuka
Kaze no Tani no Nausicaä;Miralupa;Main;https://myanimelist.net/character/8780/Miralupa
Kaze no Tani no Nausicaä;Ketcha;Main;https://myanimelist.net/character/8776/Ketcha
Kaze no Tani no Nausicaä;Teto;Supporting;https://myanimelist.net/character/9091/Teto
Kaze no Tani no Nausicaä;Ohmu;Supporting;https://myanimelist.net/character/8777/Ohmu
GTO;Onizuka, Eikichi;Main;https://myanimelist.net/character/434/Eikichi_Onizuka
GTO;Kanzaki, Urumi;Main;https://myanimelist.net/character/455/Urumi_Kanzaki
GTO;Uchiyamada, Hiroshi;Main;https://myanimelist.net/character/6238/Hiroshi_Uchiyamada
GTO;Kikuchi, Yoshito;Main;https://myanimelist.net/character/3604/Yoshito_Kikuchi
GTO;Yoshikawa, Noboru;Main;https://myanimelist.net/character/5947/Noboru_Yoshikawa
GTO;Nomura, Tomoko;Main;https://myanimelist.net/character/6231/Tomoko_Nomura
GTO;Fuyutsuki, Azusa;Main;https://myanimelist.net/character/3529/Azusa_Fuyutsuki
GTO;Murai, Kunio;Main;https://myanimelist.net/character/4119/Kunio_Murai
GTO;Aizawa, Miyabi;Main;https://myanimelist.net/character/6232/Miyabi_Aizawa
GTO;Danma, Ryuuji;Supporting;https://myanimelist.net/character/2264/Ryuuji_Danma
Yotsuba to!;Koiwai, Yotsuba;Main;https://myanimelist.net/character/3568/Yotsuba_Koiwai
Yotsuba to!;Ayase, Fuuka;Main;https://myanimelist.net/character/7742/Fuuka_Ayase
Yotsuba to!;Koiwai, Yousuke;Main;https://myanimelist.net/character/3577/Yousuke_Koiwai
Yotsuba to!;Takeda, Takashi;Main;https://myanimelist.net/character/3578/Takashi_Takeda
Yotsuba to!;Ayase, Asagi;Main;https://myanimelist.net/character/9164/Asagi_Ayase
Yotsuba to!;Ayase, Ena;Main;https://myanimelist.net/character/7757/Ena_Ayase
Yotsuba to!;Yasuda;Supporting;https://myanimelist.net/character/3609/Yasuda
Yotsuba to!;Danbo;Supporting;https://myanimelist.net/character/13407/Danbo
Yotsuba to!;Torako;Supporting;https://myanimelist.net/character/14280/Torako
Yotsuba to!;Hiwatari;Supporting;https://myanimelist.net/character/14279/Hiwatari
Ookami to Koushinryou;Holo;Main;https://myanimelist.net/character/7373/Holo
Ookami to Koushinryou;Lawrence, Kraft;Main;https://myanimelist.net/character/7374/Kraft_Lawrence
Ookami to Koushinryou;Arendt, Norah;Supporting;https://myanimelist.net/character/7376/Norah_Arendt
Ookami to Koushinryou;Rubens, Dian;Supporting;https://myanimelist.net/character/19671/Dian_Rubens
Ookami to Koushinryou;Boland, Fleur;Supporting;https://myanimelist.net/character/25153/Fleur_Boland
Ookami to Koushinryou;Myuri;Supporting;https://myanimelist.net/character/140071/Myuri
Ookami to Koushinryou;Col;Supporting;https://myanimelist.net/character/138217/Col
Ookami to Koushinryou;Amarty, Fermi;Supporting;https://myanimelist.net/character/19670/Fermi_Amarty
Ookami to Koushinryou;Helena;Supporting;https://myanimelist.net/character/25802/Helena
Ookami to Koushinryou;Zheren;Supporting;https://myanimelist.net/character/17825/Zheren
Akatsuki no Yona;Yona;Main;https://myanimelist.net/character/43814/Yona
Akatsuki no Yona;Son, Hak;Main;https://myanimelist.net/character/43815/Hak_Son
Akatsuki no Yona;Shin-ah;Main;https://myanimelist.net/character/67749/Shin-ah
Akatsuki no Yona;Zeno;Main;https://myanimelist.net/character/67753/Zeno
Akatsuki no Yona;Jae-ha;Main;https://myanimelist.net/character/67751/Jae-ha
Akatsuki no Yona;Ki-ja;Main;https://myanimelist.net/character/67747/Ki-ja
Akatsuki no Yona;Su-won;Main;https://myanimelist.net/character/109011/Su-won
Akatsuki no Yona;Yun;Main;https://myanimelist.net/character/67745/Yun
Akatsuki no Yona;Ao;Supporting;https://myanimelist.net/character/115615/Ao
Akatsuki no Yona;Ao;Supporting;https://myanimelist.net/character/121157/Ao
Uchuu Kyoudai;Nanba, Mutta;Main;https://myanimelist.net/character/55171/Mutta_Nanba
Uchuu Kyoudai;Nanba, Hibito;Main;https://myanimelist.net/character/55169/Hibito_Nanba
Uchuu Kyoudai;Apo;Supporting;https://myanimelist.net/character/79109/Apo
Uchuu Kyoudai;Itou, Serika;Supporting;https://myanimelist.net/character/56045/Serika_Itou
Uchuu Kyoudai;Makabe, Kenji;Supporting;https://myanimelist.net/character/56205/Kenji_Makabe
Uchuu Kyoudai;Young, Deneil;Supporting;https://myanimelist.net/character/88281/Deneil_Young
Uchuu Kyoudai;Kaneko, Sharon;Supporting;https://myanimelist.net/character/56047/Sharon_Kaneko
Uchuu Kyoudai;Jay, Brian;Supporting;https://myanimelist.net/character/83925/Brian_Jay
Uchuu Kyoudai;Nitta, Reiji;Supporting;https://myanimelist.net/character/66913/Reiji_Nitta
Uchuu Kyoudai;Azuma, Takio;Supporting;https://myanimelist.net/character/78551/Takio_Azuma
Koe no Katachi;Nishimiya, Shouko;Main;https://myanimelist.net/character/80243/Shouko_Nishimiya
Koe no Katachi;Ishida, Shouya;Main;https://myanimelist.net/character/80491/Shouya_Ishida
Koe no Katachi;Nishimiya, Yuzuru;Supporting;https://myanimelist.net/character/97581/Yuzuru_Nishimiya
Koe no Katachi;Ueno, Naoka;Supporting;https://myanimelist.net/character/97583/Naoka_Ueno
Koe no Katachi;Nagatsuka, Tomohiro;Supporting;https://myanimelist.net/character/95817/Tomohiro_Nagatsuka
Koe no Katachi;Pedro;Supporting;https://myanimelist.net/character/117811/Pedro
Koe no Katachi;Sahara, Miyoko;Supporting;https://myanimelist.net/character/97571/Miyoko_Sahara
Koe no Katachi;Ishida, Maria;Supporting;https://myanimelist.net/character/97943/Maria_Ishida
Koe no Katachi;Ishida, Miyako;Supporting;https://myanimelist.net/character/97577/Miyako_Ishida
Koe no Katachi;Mashiba, Satoshi;Supporting;https://myanimelist.net/character/100473/Satoshi_Mashiba
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?;Nota Seniorious, Chtholly;Main;https://myanimelist.net/character/148681/Chtholly_Nota_Seniorious
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?;Kmetsch, Willem;Main;https://myanimelist.net/character/148738/Willem_Kmetsch
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?;Ruq Insania, Nephren;Main;https://myanimelist.net/character/148748/Nephren_Ruq_Insania
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?;Myse Valgulious, Ithea;Main;https://myanimelist.net/character/148747/Ithea_Myse_Valgulious
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?;Nygglatho;Supporting;https://myanimelist.net/character/148743/Nygglatho
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?;Ytri Historia, Rhantolk;Supporting;https://myanimelist.net/character/148737/Rhantolk_Ytri_Historia
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?;Hrqstn, Elq;Supporting;https://myanimelist.net/character/150988/Elq_Hrqstn
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?;Nox Katena, Pannibal;Supporting;https://myanimelist.net/character/148740/Pannibal_Nox_Katena
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?;Rin Purgatrio, Collon;Supporting;https://myanimelist.net/character/148742/Collon_Rin_Purgatrio
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?;Asplay, Lillia;Supporting;https://myanimelist.net/character/148751/Lillia_Asplay
Mushishi;Ginko;Main;https://myanimelist.net/character/425/Ginko
Mushishi;Karibusa, Tanyuu;Supporting;https://myanimelist.net/character/13714/Tanyuu_Karibusa
Mushishi;Nui;Supporting;https://myanimelist.net/character/5167/Nui
Mushishi;Adashino;Supporting;https://myanimelist.net/character/4071/Adashino
Mushishi;Shino;Supporting;https://myanimelist.net/character/120079/Shino
Mushishi;Sui;Supporting;https://myanimelist.net/character/23796/Sui
Mushishi;Kaoru;Supporting;https://myanimelist.net/character/116277/Kaoru
Mushishi;Maho;Supporting;https://myanimelist.net/character/23845/Maho
Mushishi;Ioroi, Shinra;Supporting;https://myanimelist.net/character/23764/Shinra_Ioroi
Mushishi;Koro;Supporting;https://myanimelist.net/character/19708/Koro
Watashitachi no Shiawase na Jikan;Yuu;Main;https://myanimelist.net/character/28263/Yuu
Watashitachi no Shiawase na Jikan;Mutou, Juri;Main;https://myanimelist.net/character/28264/Juri_Mutou
Watashitachi no Shiawase na Jikan;Inoue, Jirou;Supporting;https://myanimelist.net/character/35096/Jirou_Inoue
Watashitachi no Shiawase na Jikan;Mutou, Mother;Supporting;https://myanimelist.net/character/153262/Mother_Mutou
Watashitachi no Shiawase na Jikan;Monica;Supporting;https://myanimelist.net/character/31162/Monica
One Punch-Man;Saitama;Main;https://myanimelist.net/character/73935/Saitama
One Punch-Man;Genos;Main;https://myanimelist.net/character/73979/Genos
One Punch-Man;Mumen Rider;Supporting;https://myanimelist.net/character/81935/Mumen_Rider
One Punch-Man;Tatsumaki;Supporting;https://myanimelist.net/character/81929/Tatsumaki
One Punch-Man;Sonic;Supporting;https://myanimelist.net/character/74167/Sonic
One Punch-Man;Garou;Supporting;https://myanimelist.net/character/112889/Garou
One Punch-Man;Fubuki;Supporting;https://myanimelist.net/character/81931/Fubuki
One Punch-Man;Metal Bat;Supporting;https://myanimelist.net/character/127446/Metal_Bat
One Punch-Man;King;Supporting;https://myanimelist.net/character/94239/King
One Punch-Man;Puripuri Prisoner;Supporting;https://myanimelist.net/character/86029/Puripuri_Prisoner
Kakukaku Shikajika;Hidaka, Kenzou;Main;https://myanimelist.net/character/127863/Kenzou_Hidaka
Kakukaku Shikajika;Hayashi, Akiko;Main;https://myanimelist.net/character/127862/Akiko_Hayashi
Kakukaku Shikajika;Futami;Supporting;https://myanimelist.net/character/127865/Futami
Kozure Ookami;Ogami, Ittou;Main;https://myanimelist.net/character/13583/Ittou_Ogami
Kozure Ookami;Ogami, Daigorou;Main;https://myanimelist.net/character/10220/Daigorou_Ogami
Kozure Ookami;Yagyuu, Retsudou;Main;https://myanimelist.net/character/17949/Retsudou_Yagyuu
Kozure Ookami;Yamada, Asaemon;Supporting;https://myanimelist.net/character/12955/Asaemon_Yamada
Ashita no Joe;Yabuki, Joe;Main;https://myanimelist.net/character/11804/Joe_Yabuki
Ashita no Joe;Rikiishi, Tooru;Main;https://myanimelist.net/character/20185/Tooru_Rikiishi
Ashita no Joe;Tange, Danpei;Main;https://myanimelist.net/character/46019/Danpei_Tange
Ashita no Joe;Rivera, Carlos;Supporting;https://myanimelist.net/character/46053/Carlos_Rivera
Ashita no Joe;Shiraki, Yoko;Supporting;https://myanimelist.net/character/46051/Yoko_Shiraki
Ashita no Joe;"Mendoza, Jos&eacute;";Supporting;https://myanimelist.net/character/46057/Jos_eacute__Mendoza
Ashita no Joe;Kim, Yong-bi;Supporting;https://myanimelist.net/character/107695/Yong-bi_Kim
Ashita no Joe;Sachi;Supporting;https://myanimelist.net/character/85465/Sachi
Ashita no Joe;Nishi, Kan'ichi;Supporting;https://myanimelist.net/character/46043/Kanichi_Nishi
Ashita no Joe;Gondo, Goromaki;Supporting;https://myanimelist.net/character/101933/Goromaki_Gondo
Natsume Yuujinchou;Natsume, Takashi;Main;https://myanimelist.net/character/13783/Takashi_Natsume
Natsume Yuujinchou;Madara;Main;https://myanimelist.net/character/13784/Madara
Natsume Yuujinchou;Natsume, Reiko;Supporting;https://myanimelist.net/character/13886/Reiko_Natsume
Natsume Yuujinchou;Tanuma, Kaname;Supporting;https://myanimelist.net/character/13888/Kaname_Tanuma
Natsume Yuujinchou;Kogitsune;Supporting;https://myanimelist.net/character/15446/Kogitsune
Natsume Yuujinchou;Matoba, Seiji;Supporting;https://myanimelist.net/character/31303/Seiji_Matoba
Natsume Yuujinchou;Natori, Shuuichi;Supporting;https://myanimelist.net/character/13887/Shuuichi_Natori
Natsume Yuujinchou;Taki, Tooru;Supporting;https://myanimelist.net/character/19515/Tooru_Taki
Natsume Yuujinchou;Hinoe;Supporting;https://myanimelist.net/character/19455/Hinoe
Natsume Yuujinchou;Tree Youkai;Supporting;https://myanimelist.net/character/45009/Tree_Youkai
Monogatari Series: Second Season;Senjougahara, Hitagi;Main;https://myanimelist.net/character/22037/Hitagi_Senjougahara
